index(611),angle,range,intensity
545,318.61,259.0,0.0
546,319.20,256.0,0.0
547,319.83,253.0,0.0
548,320.41,251.0,0.0
549,321.03,248.0,0.0
550,321.63,246.0,0.0
551,322.25,243.0,0.0
552,322.84,241.0,0.0
553,323.44,239.0,0.0
554,324.03,237.0,0.0
555,324.67,234.0,0.0
556,325.23,233.0,0.0
557,325.81,232.0,0.0
558,326.41,230.0,0.0
559,327.02,228.0,0.0
560,327.63,226.0,0.0
561,328.16,227.0,0.0
562,328.70,227.0,0.0
563,329.22,229.0,0.0
564,329.72,231.0,0.0
565,330.25,232.0,0.0
566,330.77,234.0,0.0
567,331.28,236.0,0.0
568,334.98,200.0,0.0
569,335.58,199.0,0.0
570,336.20,197.0,0.0
571,336.83,195.0,0.0
572,337.44,193.0,0.0
573,338.03,192.0,0.0
574,338.66,190.0,0.0
575,339.25,189.0,0.0
576,339.86,187.0,0.0
577,340.47,186.0,0.0
578,341.05,185.0,0.0
579,341.69,183.0,0.0
580,342.30,182.0,0.0
581,342.92,180.0,0.0
582,343.50,179.0,0.0
583,344.06,179.0,0.0
584,344.61,179.0,0.0
585,345.22,178.0,0.0
586,345.73,178.0,0.0
587,346.28,177.0,0.0
588,346.83,177.0,0.0
589,347.44,176.0,0.0
590,348.00,176.0,0.0
591,348.56,176.0,0.0
592,349.17,175.0,0.0
593,349.73,175.0,0.0
594,350.33,174.0,0.0
595,350.89,174.0,0.0
596,351.45,174.0,0.0
597,352.02,174.0,0.0
598,352.63,173.0,0.0
599,353.19,173.0,0.0
600,353.75,173.0,0.0
601,354.30,173.0,0.0
602,354.91,172.0,0.0
603,355.47,172.0,0.0
604,356.03,172.0,0.0
605,356.59,172.0,0.0
606,357.16,172.0,0.0
607,357.72,172.0,0.0
608,358.28,172.0,0.0
609,358.88,171.0,0.0
610,359.44,171.0,0.0
